Incident ID,Incident Number,Incident Category
1,180937202,Traffic Violation Arrest
1,186298573,Larceny Theft
1,186301461,Larceny Theft
1,180974511,Other Miscellaneous
1,180974549,Offences Against The Family And Children
1,180972935,Assault
1,180970296,Other Miscellaneous
1,180918917,Larceny Theft
1,180976056,Suspicious Occ
1,180916303,Motor Vehicle Theft
2,180973610,Fraud
1,190018375,Fraud
1,180916676,Malicious Mischief
1,180847178,Malicious Mischief
1,180976783,Non-Criminal
1,186301847,Larceny Theft
1,180972258,Fraud
1,190007196,Lost Property
1,186288706,Lost Property
1,180926039,Larceny Theft
1,180953571,Burglary
1,180981431,Assault
1,186279943,Larceny Theft
1,186283881,Malicious Mischief
1,186290240,Larceny Theft
1,196005744,Malicious Mischief
1,186292111,Lost Property
1,180940556,Larceny Theft
1,180918440,Malicious Mischief
1,186299797,Lost Property
1,180980546,Other Offenses
1,180921302,Robbery
1,186298670,Larceny Theft
1,180940603,Warrant
1,180973955,Suspicious Occ
1,180952880,Larceny Theft
1,180966900,Non-Criminal
1,180925081,Robbery
1,180926227,Larceny Theft
1,180956951,Larceny Theft
1,180978284,Stolen Property
1,180919761,Recovered Vehicle
1,180951616,Larceny Theft
1,180953208,Courtesy Report
1,180944956,Larceny Theft
1,180969976,Non-Criminal
2,180942671,Larceny Theft
1,180943099,Burglary
1,180917157,Other Miscellaneous
1,180969415,Weapons Offense
1,186293460,Larceny Theft
1,180962334,Larceny Theft
1,180973626,Suspicious Occ
1,180944241,Motor Vehicle Theft
1,186279595,Malicious Mischief
1,180962607,Other
1,180908764,Warrant
1,180952589,Disorderly Conduct
1,186289168,Larceny Theft
1,180958565,Other Miscellaneous
1,186278826,Larceny Theft
1,180913456,Warrant
1,180969471,Assault
1,180983039,Larceny Theft
1,180923524,Larceny Theft
1,180974492,Non-Criminal
1,180946253,Larceny Theft
1,180920417,Disorderly Conduct
1,180917226,Non-Criminal
1,180933410,Burglary
1,180977270,Miscellaneous Investigation
1,180970428,Burglary
1,186300071,Larceny Theft
1,180928182,Case Closure
2,186285837,Larceny Theft
1,180971971,Suspicious Occ
1,180954018,Non-Criminal
1,180949887,Other Miscellaneous
1,180916074,Larceny Theft
1,186277878,Larceny Theft
1,196000039,Lost Property
1,180914658,Suspicious Occ
1,180927877,Traffic Violation Arrest
1,180971244,Burglary
1,180930303,Suspicious Occ
1,186288853,Larceny Theft
3,180962588,Drug Offense
2,180981704,Burglary
1,180957432,Larceny Theft
2,180909223,Missing Person
1,180968489,Assault
1,180970989,Other Miscellaneous
1,180972606,Burglary
1,180981447,Other Miscellaneous
1,180983302,Non-Criminal
2,186281948,Larceny Theft
1,186289425,Larceny Theft
1,186297036,Malicious Mischief
1,180920702,Other Miscellaneous
1,186295353,Larceny Theft
1,186284873,Larceny Theft
1,180956036,Other Miscellaneous
2,180873048,Warrant
2,180966869,Malicious Mischief
1,180921772,Robbery
1,186289970,Larceny Theft
1,186296135,Larceny Theft
1,180973905,Other Miscellaneous
1,180931981,Other Miscellaneous
1,186301314,Larceny Theft
2,186280843,Larceny Theft
1,180964380,Larceny Theft
1,180961079,Motor Vehicle Theft
1,180972797,Warrant
1,186298056,Larceny Theft
1,180955276,Other Miscellaneous
1,196000409,Larceny Theft
2,190006358,Burglary
1,180956804,Other Miscellaneous
1,180971567,Non-Criminal
1,180977991,Malicious Mischief
1,180947483,Robbery
1,180908106,Warrant
1,180924259,Burglary
1,186289572,Larceny Theft
1,180952896,Traffic Violation Arrest
1,180923574,Other Miscellaneous
1,180954466,Robbery
1,180970951,Larceny Theft
1,180944627,Other Miscellaneous
1,180964904,Larceny Theft
1,180927338,Motor Vehicle Theft
1,180935002,Other Miscellaneous
1,180975688,Warrant
