Incident Date,Incident ID,Incident Category
2018/12/14,12,Offences Against The Family And Children
2018/12/31,2,Traffic Violation Arrest
2018/12/29,142,Larceny Theft
2018/12/18,14,Malicious Mischief
2018/12/24,1,Courtesy Report
2018/12/30,6,Traffic Violation Arrest
2018/12/09,11,Motor Vehicle Theft
2018/12/27,25,Assault
2018/12/17,2,Stolen Property
2018/12/26,23,Non-Criminal
2018/12/05,1,Juvenile Offenses
2018/12/22,8,Offences Against The Family And Children
2018/12/30,1,Stolen Property
2018/12/02,89,Larceny Theft
2018/12/03,3,Other Offenses
2018/12/31,3,Stolen Property
2018/12/11,15,Motor Vehicle Theft
2018/12/17,5,Traffic Violation Arrest
2018/12/18,25,Other Miscellaneous
2018/12/21,11,Fraud
2018/12/28,17,Motor Vehicle Theft
2018/12/03,3,Other
2018/12/26,14,Assault
2018/12/27,24,Non-Criminal
2018/12/14,22,Burglary
2018/12/23,5,Recovered Vehicle
2018/12/01,2,Sex Offense
2018/12/26,25,Malicious Mischief
2018/12/09,5,Disorderly Conduct
2018/12/30,22,Warrant
2018/12/29,5,Suspicious Occ
2018/12/31,15,Warrant
2018/12/04,1,Civil Sidewalks
2018/12/29,4,Weapons Carrying Etc
2018/12/12,14,Recovered Vehicle
2018/12/18,24,Non-Criminal
2018/12/16,1,Weapons Offense
2018/12/27,38,Other Miscellaneous
2018/12/22,1,Arson
2018/12/29,2,Sex Offense
2018/12/04,4,Miscellaneous Investigation
2018/12/28,1,Vandalism
2018/12/01,7,Suspicious Occ
2018/12/02,13,Recovered Vehicle
2018/12/01,1,Weapons Carrying Etc
2018/12/31,18,Burglary
2018/12/24,2,Juvenile Offenses
2018/12/26,16,Drug Offense
2018/12/25,1,Juvenile Offenses
2018/12/03,1,Traffic Collision
2018/12/21,32,Other Miscellaneous
2018/12/30,13,Burglary
2018/12/17,4,Arson
2018/12/18,12,Fraud
2018/12/17,3,Offences Against The Family And Children
2018/12/04,12,Lost Property
2018/12/23,197,Larceny Theft
2018/12/14,4,Warrant
2018/12/11,2,Forgery And Counterfeiting
2018/12/04,1,Prostitution
2018/12/09,15,Missing Person
2018/12/12,112,Larceny Theft
2018/12/14,1,Case Closure
2018/12/10,11,Robbery
2018/12/22,4,Traffic Violation Arrest
2018/12/27,6,Fraud
2018/12/28,1,Forgery And Counterfeiting
2018/12/21,25,Non-Criminal
2018/12/13,1,Courtesy Report
